,DriverNumber,Driver,Team,Q1_time,Q2_time,Q3_time,Best_Quali_Time,FP1_AvgLapTime,FP1_StdLapTime,FP1_BestLapTime,FP1_LapCount,FP1_AvgSpeedI1,FP1_AvgSpeedI2,FP1_AvgSpeedFL,FP1_AvgSpeedST,FP2_AvgLapTime,FP2_StdLapTime,FP2_BestLapTime,FP2_LapCount,FP2_AvgSpeedI1,FP2_AvgSpeedI2,FP2_AvgSpeedFL,FP2_AvgSpeedST,FP3_AvgLapTime,FP3_StdLapTime,FP3_BestLapTime,FP3_LapCount,FP3_AvgSpeedI1,FP3_AvgSpeedI2,FP3_AvgSpeedFL,FP3_AvgSpeedST,RacePosition,RaceTime,Status,Year,Event
0,1,VER,Red Bull Racing,90.031,89.374,89.179,89.179,107.957133,18.665004,93.238,15.0,217.8571428571429,243.4,246.83333333333331,263.7142857142857,102.49319,13.762315,90.851,21.0,217.76470588235293,248.52380952380952,261.77777777777777,268.6470588235294,114.325833,19.078257,91.062,12.0,191.41666666666663,221.08333333333331,251.11111111111111,236.83333333333331,1.0,5504.742,Finished,2024,Bahrain Grand Prix
1,16,LEC,Ferrari,90.243,89.165,89.407,89.165,109.744,16.984436,93.268,19.0,212.94736842105263,211.52631578947367,264.6,287.47058823529414,107.856863,18.152514,91.113,22.0,210.95238095238096,228.6818181818182,260.05555555555554,274.04761904761904,116.958642,24.885305,91.094,14.0,198.64285714285717,217.5,261.9,265.57142857142856,4.0,5544.411,Finished,2024,Bahrain Grand Prix
2,63,RUS,Mercedes,90.35,89.922,89.485,89.485,110.2817,19.378515,93.251,20.0,203.21052631578948,219.85,263.6111111111111,277.35,106.592944,19.931599,90.58,18.0,214.0,229.61111111111111,276.6666666666667,278.5882352941176,113.240571,21.480968,91.19,7.0,211.28571428571428,226.57142857142856,283.0,246.7142857142857,5.0,5551.53,Finished,2024,Bahrain Grand Prix
3,55,SAI,Ferrari,89.909,89.573,89.507,89.507,109.88185,16.987946,93.385,20.0,202.3684210526316,215.95,262.8,271.45,108.663,18.106417,90.769,21.0,210.88888888888889,226.3809523809524,261.8125,262.25,112.046076,21.137804,90.824,13.0,210.23076923076923,221.15384615384616,238.11111111111111,244.53846153846155,3.0,5529.852,Finished,2024,Bahrain Grand Prix
4,11,PER,Red Bull Racing,90.221,89.932,89.537,89.537,112.015777,21.985955,93.413,18.0,201.5,234.44444444444449,267.7692307692308,253.8235294117647,104.155,15.511067,91.115,22.0,216.88888888888889,245.95454545454547,262.94444444444446,282.8181818181818,119.938636,23.459825,91.248,11.0,197.2,220.9090909090909,251.7142857142857,238.45454545454547,2.0,5527.1990000000005,Finished,2024,Bahrain Grand Prix
5,14,ALO,Aston Martin,90.179,89.801,89.542,89.542,111.927642,19.573737,93.193,14.0,206.14285714285717,210.42857142857144,260.45454545454544,266.3076923076923,105.022111,16.353707,90.66,18.0,219.4705882352941,226.83333333333331,257.2142857142857,266.2307692307692,112.659357,19.515299,90.965,14.0,208.0,219.92857142857144,256.3636363636364,251.23076923076923,9.0,5579.629,Finished,2024,Bahrain Grand Prix
6,4,NOR,McLaren,90.143,89.941,89.614,89.614,108.82875,18.663145,92.901,20.0,209.31578947368425,235.0,257.8125,277.9,105.583272,15.765409,92.608,22.0,215.8571428571429,236.8636363636364,262.5,279.55,109.53425,15.47679,91.118,8.0,201.875,226.0,226.75,263.875,6.0,5553.2,Finished,2024,Bahrain Grand Prix
7,81,PIA,McLaren,90.531,90.122,89.683,89.683,107.44538,18.052683,93.113,21.0,207.0,242.14285714285717,262.27777777777777,278.55,103.818166,14.674903,90.784,24.0,221.8571428571429,244.75,268.45,284.0,112.543333,17.028581,91.21,9.0,207.66666666666663,228.22222222222223,237.6,274.8888888888889,8.0,5560.8240000000005,Finished,2024,Bahrain Grand Prix
8,44,HAM,Mercedes,90.451,89.718,89.71,89.71,108.4525,15.763665,93.302,18.0,202.06666666666663,233.55555555555557,258.2307692307692,270.52941176470586,101.43305,12.036127,90.374,20.0,220.42105263157896,239.7,260.88235294117646,288.27777777777777,105.906,17.357139,91.452,15.0,220.0,233.7333333333333,253.3,276.6428571428572,7.0,5555.066,Finished,2024,Bahrain Grand Prix
9,27,HUL,Haas F1 Team,90.566,89.851,90.502,89.851,102.024043,9.340777,97.938,23.0,225.77777777777777,240.3913043478261,262.6842105263158,280.1904761904762,104.047368,15.965646,90.884,19.0,220.83333333333331,240.1578947368421,263.375,284.6,118.713545,20.334854,91.278,11.0,195.9090909090909,199.3636363636364,236.44444444444449,248.72727272727272,16.0,5624.398043,Lapped,2024,Bahrain Grand Prix
10,22,TSU,RB,90.481,90.129,,90.129,111.11895,19.437815,93.183,20.0,196.88888888888889,226.6,263.1764705882353,272.7368421052632,106.52148,16.545364,91.881,25.0,208.57142857142856,239.36,268.1363636363636,287.8636363636364,114.1923,21.050444,91.631,10.0,209.4,235.4,251.57142857142856,263.9,14.0,5625.34295,Lapped,2024,Bahrain Grand Prix
11,18,STR,Aston Martin,89.965,90.2,,89.965,109.100071,17.174319,93.868,14.0,204.8571428571429,236.07142857142856,255.0909090909091,269.92857142857144,105.804863,16.895982,90.891,22.0,209.3809523809524,220.4090909090909,263.05,277.1904761904762,111.467923,20.183081,91.396,13.0,210.7692307692308,224.30769230769232,253.44444444444449,268.7692307692308,10.0,5597.9580000000005,Finished,2024,Bahrain Grand Prix
12,23,ALB,Williams,90.397,90.221,,90.221,113.341214,19.124703,93.583,14.0,190.3571428571429,205.14285714285717,275.75,251.5,106.156136,14.615537,91.333,22.0,205.11111111111111,234.45454545454547,263.2352941176471,275.3809523809524,120.213636,23.354379,91.965,11.0,172.36363636363637,216.1818181818182,243.625,250.27272727272728,15.0,5629.969214000001,Lapped,2024,Bahrain Grand Prix
13,3,RIC,RB,90.562,90.278,,90.278,111.430105,19.785057,92.869,19.0,206.06666666666663,230.21052631578948,253.9333333333333,261.0,104.961086,14.409176,91.516,23.0,215.8,235.3913043478261,263.05,274.0,118.8908,20.68184,91.449,10.0,205.9,223.7,219.33333333333331,250.7,13.0,5625.130105,Lapped,2024,Bahrain Grand Prix
14,20,MAG,Haas F1 Team,90.646,90.529,,90.529,102.3465,11.368917,97.477,22.0,228.10526315789477,247.4090909090909,262.6,285.95,105.180454,16.159715,91.764,22.0,215.57894736842104,240.0909090909091,265.45,275.72222222222223,108.89825,18.94367,91.671,16.0,219.13333333333333,237.4375,254.08333333333331,285.875,12.0,5615.4045,Lapped,2024,Bahrain Grand Prix
